game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16,game17
Steelers,0.52,0.8,0.69,0.44,0.78,0.77,0.83,0.3,0.34,0.54,0,0.81,0.66,0.82,0.66,0.87,0.74
Lions,0.48,0.75,0.64,0.55,0.51,0.78,0.75,0.81,0,0.37,0.94,0.41,0.6,0.74,0.7,0.67,0.3
Jets,0.75,0.73,0.7,0.28,0.24,0.74,0.67,0,0.49,0.34,0.81,0.63,0.58,0.88,0.48,0.76,0.64
Packers,0.82,0.71,0.53,0.92,0.76,0.94,0.75,0,0.69,0.82,0.82,0.59,0.77,0.86,0.89,0.66,0.7
Ravens,0.48,0.71,0.91,0.72,0,0.76,0.82,0.95,0.66,0.91,0.81,0.86,0.86,0.88,0.71,0.91,0.73
Patriots,0.75,0.69,0.71,0.84,0.76,0.82,0,0.7,0.88,0.66,0.95,0.7,0.9,0.76,0.91,0.86,0.79
Redskins,0.41,0.68,0.4,0.77,0,0.48,0.84,0.35,0.69,0.5,0.55,0.77,0.42,0.24,0.55,0.64,0.35
Saints,0.18,0.67,0.46,0.58,0.83,0.46,0.7,0.75,0.6,0.5,0,0.65,0.4,0.59,0.47,0.64,0.88
Vikings,0.4,0.65,0.36,0.72,0.82,0.23,0.25,0.81,0,0.18,0.65,0.45,0.78,0.26,0.53,0.36,0.32
Giants,0.59,0.65,0.27,0.72,0.78,0.37,0,0.53,0.12,0.45,0.36,0.35,0.23,0.31,0.45,0.24,0.42
Broncos,0.33,0.65,0.3,0.08,0.25,0,0.22,0.19,0.28,0.47,0.19,0.18,0.22,0.16,0.09,0.15,0.61
Bills,0.5,0.59,0.29,0.53,0.56,0.63,0,0.65,0.51,0.49,0.58,0.37,0.77,0.49,0.7,0.85,0.21
Texans,0.41,0.58,0.54,0.56,0.75,0.24,0.68,0.76,0.81,0.58,0,0.67,0.71,0.53,0.92,0.68,0.77
Cowboys,0.25,0.57,0.6,0.45,0,0.18,0.85,0.37,0.85,0.51,0.45,0.66,0.8,0.69,0.52,0.5,0.58
Falcons,0.4,0.53,0.4,0.71,0.24,0.86,0.25,0,0.52,0.5,0.65,0.55,0.29,0.8,0.64,0.36,0.54
Browns,0.49,0.51,0.37,0.49,0,0.33,0.68,0.32,0.19,0.68,0.47,0.24,0.14,0.18,0.6,0.09,0.26
Colts,0.59,0.49,0.31,0.32,0.73,0.29,0.3,0.43,0.48,0.56,0,0.82,0.1,0.12,0.57,0.32,0.41
Eagles,0.69,0.47,0.73,0.75,0.44,0.52,0,0.63,0.46,0.89,0.64,0.3,0.81,0.59,0.52,0.5,0.65
49ers,0.59,0.43,0.32,0.25,0.49,0.22,0,0.68,0.31,0.55,0.78,0.14,0.77,0.7,0.34,0.67,0.68
Dolphins,0.25,0.42,0.63,0.35,0,0.26,0.78,0.47,0.72,0.5,0.42,0.34,0.65,0.41,0.3,0.14,0.36
Raiders,0.67,0.41,0.3,0.16,0.25,0.67,0.75,0,0.72,0.28,0.35,0.26,0.35,0.14,0.3,0.65,0.39
Bengals,0.51,0.35,0.68,0.47,0.59,0.71,0,0.76,0.6,0.46,0.19,0.76,0.34,0.47,0.76,0.84,0.27
Rams,0.31,0.35,0.09,0.23,0,0.06,0.15,0.25,0.46,0.32,0.57,0.6,0.23,0.42,0.24,0.13,0.32
Buccaneers,0.52,0.35,0.6,0.68,0.51,0.54,0.32,0,0.4,0.42,0.18,0.56,0.87,0.55,0.48,0.82,0.46
Bears,0.6,0.33,0.47,0.95,0.49,0.77,0.68,0,0.54,0.63,0.72,0.74,0.9,0.84,0.91,0.34,0.68
Cardinals,0.57,0.32,0.39,0.28,0.18,0,0.17,0.05,0.54,0.11,0.22,0.4,0.2,0.3,0.4,0.16,0.54
Chargers,0.6,0.31,0.84,0.65,0.75,0,0.33,0.77,0.31,0.72,0.28,0.82,0.62,0.51,0.29,0.33,0.61
Titans,0.44,0.29,0.7,0.51,0.22,0,0.32,0.57,0.4,0.75,0.35,0.44,0.23,0.41,0.43,0.56,0.23
Panthers,0.43,0.29,0.24,0.05,0.17,0.14,0.16,0.19,0,0.25,0.06,0.18,0.13,0.2,0.08,0.18,0.12
Jaguars,0.56,0.27,0.76,0.42,0.41,0.23,0.18,0.24,0,0.44,0.53,0.33,0.38,0.45,0.36,0.44,0.59
Chiefs,0.5,0.25,0.16,0.28,0.27,0,0.25,0.23,0.28,0.53,0.05,0.19,0.1,0.12,0.11,0.35,0.39
Seahawks,0.41,0.2,0.61,0.29,0.22,0,0.32,0.24,0.15,0.09,0.43,0.23,0.19,0.58,0.09,0.33,0.46
